code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
000998,隆平高科,-0.1675,-0.0183,-1.7718,-0.0328,-5.2975
002375,亚厦股份,-0.1683,-0.0545,-3.4352,-0.091,-9.1816
603329,上海雅仕,-0.1687,-0.1774,-4.2573,-0.6112,-61.1174
603333,明星电缆,-0.16899999999999998,-0.0888,-3.6047,-0.2806,-30.0893
600620,天宸股份,-0.1697,-0.0023,-0.1072,-0.0123,-8.8888
600340,华夏幸福,-0.1697,-0.0193,-0.9641,-0.0228,-3.137
603909,合诚股份,-0.1699,-0.0479,-1.7212,-0.1105,-17.5135
300480,光力科技,-0.17,-0.0332,-1.1398,-0.2797,-34.8562
002509,天广中茂,-0.1703,-0.0366,-1.3651,-0.0807,-11.2764
002518,科士达,-0.1709,-0.0832,-1.3794,-0.2349,-27.5009
002882,金龙羽,-0.171,-0.1792,-2.1787,-0.5385,-54.0842
300688,创业黑马,-0.1711,-0.0777,-1.7481,-0.4641,-47.2325
002013,中航机电,-0.1713,-0.0471,-2.4423,-0.0778,-10.2997
600854,春兰股份,-0.1713,-0.0416,-0.9557,-0.2074,-26.5076
603169,兰石重装,-0.1713,-0.0312,,-0.043,-4.7661
300543,朗科智能,-0.1717,-0.1479,-4.6039,-0.4222,-42.4193
001979,招商蛇口,-0.1727,-0.0139,-0.6,-0.018000000000000002,-2.4262
002452,长高集团,-0.1729,-0.0375,,-0.0755,-9.1724
000063,中兴通讯,-0.174,-0.0823,,-0.1138,-12.6828
002898,赛隆药业,-0.1745,-0.0771,-1.1994,-0.6747,-67.71600000000001
300365,恒华科技,-0.1746,-0.0561,-1.0937,-0.2339,-23.4131
603569,长久物流,-0.1749,-0.1174,-3.417,-0.2076,-26.4225
002812,恩捷股份,-0.1767,-0.0475,-0.6212,-0.1296,-23.9259
600879,航天电子,-0.1768,-0.0637,-4.3174,-0.1237,-12.6381
002439,启明星辰,-0.177,-0.0531,-2.1384,-0.2052,-21.6598
000967,盈峰环境,-0.1771,-0.0798,-2.3934,-0.1741,-21.7402
002227,奥特迅,-0.1781,-0.0325,,-0.1168,-13.93
300081,恒信东方,-0.1783,-0.0314,-0.4171,-0.2945,-29.4518
002300,太阳电缆,-0.1787,-0.1607,-7.8004,-0.2424,-25.9814
600685,中船防务,-0.179,-0.0479,,-0.0757,-8.7661
300035,中科电气,-0.1791,-0.0413,-1.0387,-0.1175,-12.7576
300302,同有科技,-0.1794,-0.0622,-2.2582,-0.5317,-56.9677
002424,贵州百灵,-0.1799,-0.0689,-0.9229,-0.2433,-24.9095
600666,奥瑞德,-0.1802,-0.0255,,-0.0464,-6.2929
300123,亚光科技,-0.1809,-0.0214,-1.5221,-0.0659,-9.137
300318,博晖创新,-0.1816,-0.0313,-2.7542,-0.0587,-6.6506
002046,轴研科技,-0.1817,-0.0587,-4.1331,-0.1576,-17.7178
600898,国美通讯,-0.1818,-0.1124,,-0.1364,-17.1271
002133,广宇集团,-0.1827,-0.0434,-0.8527,-0.0674,-9.4776
002791,坚朗五金,-0.1835,-0.121,-4.3087,-0.3787,-38.0791
601999,出版传媒,-0.184,-0.0873,-2.6324,-0.2124,-22.1087
002510,天汽模,-0.1847,-0.0405,-2.2595,-0.07200000000000001,-8.5927
600405,动力源,-0.1848,-0.0416,,-0.0783,-10.0315
300070,碧水源,-0.1849,-0.0216,-1.7218,-0.0369,-6.4027
603679,华体科技,-0.185,-0.08900000000000001,-1.4694,-0.3144,-31.4359
600728,佳都科技,-0.185,-0.0791,-4.6838,-0.1617,-16.4845
000628,高新发展,-0.1851,-0.0301,-6.6931,-0.0402,-4.4179
002709,天赐材料,-0.1853,-0.0574,-0.5915,-0.15,-16.1922
603860,中公高科,-0.1854,-0.0338,-1.4683,-0.2483,-45.2624
300399,京天利,-0.1854,-0.0963,,-0.5241,-159.0786
002558,巨人网络,-0.1857,-0.0412,-0.5199,-0.1781,-21.1189
000606,顺利办,-0.1863,-0.0172,-0.3133,-0.036000000000000004,-7.2448
300450,先导智能,-0.187,-0.0673,-0.9216,-0.1185,-12.9498
603895,天永智能,-0.1874,-0.0682,-1.4403,-0.1694,-17.0144
002232,启明信息,-0.1888,-0.09300000000000001,-3.6812,-0.2629,-29.6668
300477,合纵科技,-0.1891,-0.0625,-3.6624,-0.1076,-11.5388
600069,银鸽投资,-0.1894,-0.1007,-58.1796,-0.2016,-23.2666
