code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
603378,732378,亚士创能,2017-09-19,2017-09-28,4900,4410,12.94,22.98,1.9,6.341,0.03
603136,732136,天目湖,2017-09-15,2017-09-27,2000,2000,19.68,22.99,2.0,3.9360000000000004,0.01
300706,300706,阿石创,2017-09-15,2017-09-26,1960,1960,9.97,22.98,1.95,1.954,0.01
603363,732363,傲农生物,2017-09-14,2017-09-26,6000,5400,4.79,22.95,1.8,2.8739999999999997,0.04
300654,300654,世纪天鸿,2017-09-14,2017-09-26,2335,2102,7.71,22.98,0.9,1.8,0.02
002901,002901,大博医疗,2017-09-13,2017-09-22,4010,3609,11.56,22.98,1.2,4.636,0.03
603157,732157,拉夏贝尔,2017-09-13,2017-09-25,5477,4929,8.41,9.76,1.6,4.606,0.04
603963,732963,大理药业,2017-09-12,2017-09-22,2500,2250,12.58,20.69,1.0,3.145,0.02
002900,002900,哈三联,2017-09-12,2017-09-22,5277,4750,18.07,22.98,2.1,9.535,0.03
603055,732055,台华新材,2017-09-11,2017-09-21,6760,6084,9.21,22.97,2.0,6.226,0.04
300703,300703,创源文化,2017-09-08,2017-09-19,2000,2000,19.83,22.98,2.0,3.966,0.01
603106,732106,恒银金融,2017-09-08,2017-09-20,7000,6300,10.75,22.99,2.8,7.525,0.04
300702,300702,天宇股份,2017-09-07,2017-09-19,3000,2700,22.41,22.99,1.2,6.723,0.03
603533,732533,掌阅科技,2017-09-07,2017-09-21,4100,3690,4.05,22.96,1.2,1.661,0.04
603813,732813,原尚股份,2017-09-06,2017-09-18,2207,1986,10.17,22.99,0.8,2.245,0.03
603321,732321,梅轮电梯,2017-09-06,2017-09-15,7700,6930,6.07,22.99,3.0,4.6739999999999995,0.04
002893,002893,华通热力,2017-09-06,2017-09-15,3000,2700,8.56,22.97,1.2,2.568,0.02
002899,002899,英派斯,2017-09-05,2017-09-15,3000,2700,16.05,22.99,1.2,4.815,0.02
300701,300701,森霸传感,2017-09-04,2017-09-15,2000,2000,13.14,22.98,2.0,2.628,0.01
603648,732648,畅联股份,2017-09-01,2017-09-13,9217,8295,7.37,22.96,3.6,6.8020000000000005,0.05
300700,300700,岱勒新材,2017-08-31,2017-09-12,2060,1854,10.49,22.98,0.8,2.161,0.02
603386,732386,广东骏亚,2017-08-31,2017-09-12,5050,4545,6.23,22.99,2.0,3.1460000000000004,0.03
002898,002898,赛隆药业,2017-08-30,2017-09-12,4000,3600,8.31,22.98,1.6,3.324,0.03
603277,732277,银都股份,2017-08-30,2017-09-11,6600,5940,12.37,22.99,1.9,8.164,0.05
603882,732882,金域医学,2017-08-29,2017-09-08,6868,6181,6.93,22.97,2.0,4.76,0.05
002897,002897,意华股份,2017-08-29,2017-09-07,2667,2400,20.68,22.99,1.05,5.515,0.02
300695,300695,兆丰股份,2017-08-28,2017-09-08,1668,1668,62.67,22.99,1.65,10.452,0.01
603725,732725,天安新材,2017-08-25,2017-09-06,3668,3301,9.64,22.99,1.4,3.536,0.03
300697,300697,电工合金,2017-08-24,2017-09-07,4000,3600,7.63,22.97,1.6,3.052,0.03
603183,732183,建研院,2017-08-24,2017-09-05,2200,1980,13.56,22.98,0.8,2.983,0.03
603527,732527,众源新材,2017-08-24,2017-09-07,3110,2799,13.27,22.97,1.2,4.127,0.03
603500,732500,祥和实业,2017-08-23,2017-09-04,3150,2835,13.17,22.98,1.2,4.149,0.03
300699,300699,光威复材,2017-08-23,2017-09-01,9200,8280,11.26,22.99,3.65,10.359000000000002,0.05
300698,300698,万马科技,2017-08-22,2017-08-31,3350,3015,6.0,22.98,1.3,2.01,0.03
603359,732359,东珠生态,2017-08-22,2017-09-01,5690,5121,18.18,22.34,2.1,10.344000000000001,0.04
002896,002896,中大力德,2017-08-18,2017-08-29,2000,2000,11.75,22.99,2.0,2.35,0.01
002895,002895,川恒股份,2017-08-16,2017-08-25,4001,3601,7.03,22.99,1.2,2.813,0.03
603127,732127,昭衍新药,2017-08-15,2017-08-25,2050,1845,12.51,22.98,0.7,2.565,0.03
603181,732181,皇马科技,2017-08-14,2017-08-24,5000,4500,10.36,22.99,2.0,5.18,0.03
603079,732079,圣达生物,2017-08-11,2017-08-23,2000,2000,15.09,22.99,2.0,3.0180000000000002,0.02
300696,300696,爱乐达,2017-08-11,2017-08-22,1725,1725,22.38,22.99,1.7,3.861,0.01
002891,002891,中宠股份,2017-08-10,2017-08-21,2500,2250,15.46,22.98,1.0,3.865,0.02
300693,300693,盛弘股份,2017-08-10,2017-08-22,2281,2053,14.42,22.98,0.9,3.2889999999999997,0.02
603976,732976,正川股份,2017-08-10,2017-08-22,2700,2430,14.32,22.99,1.0,3.866,0.03
300692,300692,中环环保,2017-08-09,2017-08-21,2667,2400,8.78,22.97,1.05,2.342,0.03
601949,780949,中国出版,2017-08-09,2017-08-21,36450,32805,3.34,22.96,10.9,12.174000000000001,0.14
603129,732129,春风动力,2017-08-08,2017-08-18,3333,3000,13.63,22.98,1.3,4.543,0.03
603557,732557,起步股份,2017-08-08,2017-08-18,4700,4230,7.73,22.98,1.4,3.633,0.04
002892,002892,科力尔,2017-08-08,2017-08-17,2090,1584,17.56,22.98,0.8,3.141,0.02
603776,732776,永安行,2017-08-07,2017-08-17,2400,2160,26.85,22.99,0.9,6.444,0.03
601326,780326,秦港股份,2017-08-04,2017-08-16,55800,50220,2.34,49.62,16.7,13.057,0.2
603619,732619,中曼石油,2017-08-02,2017-11-17,4000,3600,22.61,22.99,1.2,9.044,0.04
300691,300691,联合光电,2017-08-02,2017-08-11,2140,1926,15.96,22.99,0.85,3.415,0.02
603721,732721,中广天择,2017-08-01,2017-08-11,2500,2250,7.05,22.99,1.0,1.7619999999999998,0.03
300688,300688,创业黑马,2017-07-31,2017-08-10,1700,1700,10.75,22.99,1.7,1.827,0.01
300689,300689,澄天伟业,2017-07-31,2017-08-09,1700,1700,14.39,22.98,1.7,2.4459999999999997,0.01
300690,300690,双一科技,2017-07-28,2017-08-08,1734,1734,32.12,21.12,1.7,5.57,0.01
603458,732458,勘设股份,2017-07-28,2017-08-09,3104,2794,29.36,22.98,1.2,9.116,0.03
603535,732535,嘉诚国际,2017-07-27,2017-08-08,3760,3384,15.17,22.85,1.4,5.704,0.03
603602,732602,纵横通信,2017-07-27,2017-08-10,2000,2000,15.18,22.99,2.0,3.036,0.02
300683,300683,海特生物,2017-07-27,2017-08-08,2584,2326,32.94,22.98,1.0,8.514,0.03
300686,300686,智动力,2017-07-26,2017-08-04,3130,2817,9.39,20.98,1.2,2.9389999999999996,0.03
603880,732880,南卫股份,2017-07-26,2017-08-07,2500,2250,11.72,22.98,1.0,2.93,0.03
603978,732978,深圳新星,2017-07-26,2017-08-07,2000,2000,29.93,22.99,2.0,5.986000000000001,0.02
300687,300687,赛意信息,2017-07-25,2017-08-03,2000,2000,22.14,22.99,2.0,4.428,0.02
002890,002890,弘宇股份,2017-07-24,2017-08-02,1667,1667,12.76,22.99,1.65,2.127,0.01
300685,300685,艾德生物,2017-07-24,2017-08-02,2000,2000,13.86,22.99,2.0,2.772,0.01
603825,732825,华扬联众,2017-07-21,2017-08-02,4000,3600,14.67,22.98,1.6,5.867999999999999,0.03
603860,732860,中公高科,2017-07-21,2017-08-02,1668,1668,15.62,22.99,1.6,2.605,0.01
002887,002887,绿茵生态,2017-07-20,2017-08-01,2000,2000,42.01,22.98,2.0,8.402000000000001,0.01
603357,732357,设计总院,2017-07-20,2017-08-01,8120,7308,10.44,17.61,3.2,8.482999999999999,0.05
300682,300682,朗新科技,2017-07-20,2017-08-01,4500,4050,5.51,22.99,1.35,2.479,0.04
300679,300679,电连技术,2017-07-19,2017-07-31,3000,2700,67.72,22.99,1.2,20.316,0.03
603233,732233,大参林,2017-07-19,2017-07-31,4001,3601,24.72,22.99,1.2,9.89,0.04
603730,732730,岱美股份,2017-07-18,2017-07-28,4800,4320,24.92,22.92,1.4,11.962,0.04
