date,deposit_type,rate
1990-04-15,定期存款整存整取(五年),13.68
1990-04-15,定期存款整存整取(一年),10.08
1990-04-15,活期存款(不定期),2.88
1990-04-15,零存整取、整存零取、存本取息定期存款(三年),--
1990-04-15,零存整取、整存零取、存本取息定期存款(五年),--
1990-04-15,零存整取、整存零取、存本取息定期存款(一年),--
1990-04-15,通知存款(七天),--
1990-04-15,通知存款(一天),--
1990-04-15,协定存款(定期),--
1989-02-01,定活两便(定期),--
1989-02-01,定期存款整存整取(半年),9.00
1989-02-01,定期存款整存整取(二年),12.20
1989-02-01,定期存款整存整取(三个月),7.56
1989-02-01,定期存款整存整取(三年),13.14
1989-02-01,定期存款整存整取(五年),14.94
1989-02-01,定期存款整存整取(一年),11.34
1989-02-01,活期存款(不定期),2.88
1989-02-01,零存整取、整存零取、存本取息定期存款(三年),--
1989-02-01,零存整取、整存零取、存本取息定期存款(五年),--
1989-02-01,零存整取、整存零取、存本取息定期存款(一年),--
1989-02-01,通知存款(七天),--
1989-02-01,通知存款(一天),--
1989-02-01,协定存款(定期),--
